"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","","1","0","TC-004-08 | Epolif GL21 > footer > Up button","0"
"0","","0","","1","0","TC-001-08 | Main page > footer > Up button","0"
"0","","0","","1","0","TC-004-02 | Epolif GL21 > link Главная in the header","0"
"0","","0","","1","0","TC-005-07 | Epolif Aqua > footer > information about company","0"
"0","","0","","1","0","TC-001-04 | Main page > link Epolif GL7 in the header","0"
"0","","0","","1","0","TC-005-04 | Epolif Aqua > link Epolif GL7 in the header","0"
"0","","0","","1","0","TC-003-01 | Epolif GL7 > Logo in the header","0"
"0","","0","","1","0","TC-001-05 | Main page > link Epolif GL21 in the header","0"
"0","","0","","1","0","TC-002-01 | Epolif ACP1 > Logo in the header","0"
"0","","0","","1","0","TC-004-01 | Epolif GL21 > Logo in the header","0"
"0","","0","","1","0","TC-001-03 | Main page > link Epolif Aqua in the header","0"
"0","","0","","1","0","TC-002-04 | Epolif ACP1 > link Epolif GL7 in the header","0"
"0","","0","","1","0","TC-002-08 | Epolif ACP1 > footer > Up button","0"
"0","","0","","1","0","TC-005-03 | Epolif Aqua > link Epolif Aqua in the header","0"
"0","","0","","1","0","TC-005-06 | Epolif Aqua > link Epolif ACP1 in the header","0"
"0","","0","","1","0","TC-003-05 | Epolif GL7 > link Epolif GL21 in the header","0"
"0","","0","","1","0","TC-003-02 | Epolif GL7 > link Главная in the header","0"
"0","","0","","1","0","TC-003-04 | Epolif GL7 > link Epolif GL7 in the header","0"
"0","","0","","1","0","TC-004-04 | Epolif GL21 > link Epolif GL7 in the header","0"
"0","","0","","1","0","TC-002-02 | Epolif ACP1 > link Главная in the header","0"
"0","","0","","1","0","TC-001-01 | Main page > Logo in the header","0"
"0","","0","","1","0","TC-001-09 | Main page > Presence of the promo video","0"
"0","","0","","1","0","TC-003-08 | Epolif GL7 > footer > Up button","0"
"0","","0","","1","0","TC-003-03 | Epolif GL7 > link Epolif Aqua in the header","0"
"0","","0","","1","0","TC-001-02 | Main page > link Главная in the header","0"
"0","","0","","1","0","TC-004-06 | Epolif GL21 > link Epolif ACP1 in the header","0"
"0","","0","","1","0","TC-003-07 | Epolif GL7 > footer > information about company","0"
"0","","0","","1","0","TC-005-02 | Epolif Aqua > link Главная in the header","0"
"0","","0","","1","0","TC-002-06 | Epolif ACP1 > link Epolif ACP1 in the header","0"
"0","","0","","1","0","TC-001-07 | Main page > footer > information about company","0"
"0","","0","","1","0","TC-002-03 | Epolif ACP1 > link Epolif Aqua in the header","0"
"0","","0","","1","0","TC-005-01 | Epolif Aqua > Logo in the header","0"
"0","","0","","1","0","TC-004-03 | Epolif GL21 > link Epolif Aqua in the header","0"
"0","","0","","1","0","TC-005-05 | Epolif Aqua > link Epolif GL21 in the header","0"
"0","","0","","1","0","TC-002-07 | Epolif ACP1 > footer > information about company","0"
"0","","0","","1","0","TC-004-07 | Epolif GL21 > footer > information about company","0"
"0","","0","","1","0","TC-002-05 | Epolif ACP1 > link Epolif GL21 in the header","0"
"0","","0","","1","0","TC-005-08 | Epolif Aqua > footer > Up button","0"
"0","","0","","1","0","TC-003-06 | Epolif GL7 > link Epolif ACP1 in the header","0"
"0","","0","","1","0","TC-004-05 | Epolif GL21 > link Epolif GL21 in the header","0"
"0","","0","","1","0","TC-001-06 | Main page > link Epolif ACP1 in the header","0"
